
-------------------------------------------------------------------------------------------------
Event#  Enabling_Time     Delay    Firing_Time    Firing_Tr   Token_ID     Marking(befor firing)  
   124    40.000000      1.000000      41.000000   Etimer18         0     11100111001101001100110(24)(15)00(40)0(40)0
   125    40.000000      1.000000      41.000000   Etimer22         0     11100111001101001100110(24)(16)00(40)0(40)0
   126    40.000000      1.000000      41.000000   Etimer21         0     11100111001101001100110(24)(16)00(40)0(41)0
   127    41.000000      1.000000      42.000000   Etimer22         0     11100111001101001100110(24)(16)00(41)0(41)0
   128    41.000000      1.000000      42.000000   Etimer21         0     11100111001101001100110(24)(16)00(41)0(42)0
   129    41.000000      1.000000      42.000000   Etimer17         0     11100111001101001100110(24)(16)00(42)0(42)0
   130    41.000000      1.000000      42.000000   Etimer18         0     11100111001101001100110(25)(16)00(42)0(42)0
   131    42.000000      1.000000      43.000000   Etimer17         0     11100111001101001100110(25)(17)00(42)0(42)0
   132    42.000000      1.000000      43.000000   Etimer18         0     11100111001101001100110(26)(17)00(42)0(42)0
   133    42.000000      1.000000      43.000000   Etimer21         0     11100111001101001100110(26)(18)00(42)0(42)0
   134    42.000000      1.000000      43.000000   Etimer22         0     11100111001101001100110(26)(18)00(43)0(42)0
   135    43.000000      1.000000      44.000000   Etimer18         0     11100111001101001100110(26)(18)00(43)0(43)0
   136    43.000000      1.000000      44.000000   Etimer22         0     11100111001101001100110(26)(19)00(43)0(43)0
   137    43.000000      1.000000      44.000000   Etimer21         0     11100111001101001100110(26)(19)00(43)0(44)0
   138    43.000000      1.000000      44.000000   Etimer17         0     11100111001101001100110(26)(19)00(44)0(44)0
   139    44.000000      1.000000      45.000000   Etimer22         0     11100111001101001100110(27)(19)00(44)0(44)0
   140    44.000000      1.000000      45.000000   Etimer21         0     11100111001101001100110(27)(19)00(44)0(45)0
   141    44.000000      1.000000      45.000000   Etimer17         0     11100111001101001100110(27)(19)00(45)0(45)0
   142    44.000000      1.000000      45.000000   Etimer18         0     11100111001101001100110(28)(19)00(45)0(45)0
   143    45.000000      1.000000      46.000000   Etimer17         0     11100111001101001100110(28)(20)00(45)0(45)0
   144    45.000000      1.000000      46.000000   Etimer22         0     11100111001101001100110(29)(20)00(45)0(45)0
   145    45.000000      1.000000      46.000000   Etimer18         0     11100111001101001100110(29)(20)00(45)0(46)0
   146    45.000000      1.000000      46.000000   Etimer21         0     11100111001101001100110(29)(21)00(45)0(46)0
   147    46.000000      1.000000      47.000000   Etimer17         0     11100111001101001100110(29)(21)00(46)0(46)0
   148    46.000000      1.000000      47.000000   Etimer21         0     11100111001101001100110(30)(21)00(46)0(46)0
   149    46.000000      1.000000      47.000000   Etimer18         0     11100111001101001100110(30)(21)00(47)0(46)0
   150    46.000000      1.000000      47.000000   Etimer22         0     11100111001101001100110(30)(22)00(47)0(46)0
   151    47.000000      1.000000      48.000000   Etimer21         0     11100111001101001100110(30)(22)00(47)0(47)0
   152    47.000000      1.000000      48.000000   Etimer18         0     11100111001101001100110(30)(22)00(48)0(47)0
