
-------------------------------------------------------------------------------------------------
Event#  Enabling_Time     Delay    Firing_Time    Firing_Tr   Token_ID     Marking(befor firing)  
  1144   212.000000      1.000000     213.000000   Etimer45         0     112002003140100000000111111100000011000001001(38)(81)(13)(131)(77)(107)(68)0(109)(150)(77)0(137)0(68)(38)
  1145   212.000000      1.000000     213.000000   Etimer45         0     112002003140100000000111111100000011000001001(38)(81)(13)(131)(77)(107)(68)0(109)(150)(77)0(137)0(68)(39)
  1146   213.000000      1.000000     214.000000   Etimer35         0     112002003140100000000111111100000011000001001(39)(81)(13)(131)(77)(107)(68)0(109)(150)(77)0(137)0(68)(39)
  1147   213.000000      1.000000     214.000000   Etimer42         0     112002003140100000000111111100000011000001001(39)(82)(13)(131)(77)(107)(68)0(109)(150)(77)0(137)0(68)(39)
  1148   213.000000      1.000000     214.000000   Etimer45         0     112002003140100000000111111100000011000001001(39)(82)(13)(131)(77)(107)(68)0(109)(150)(77)0(138)0(68)(39)
  1149   213.000000      1.000000     214.000000   Etimer45         0     112002003140100000000111111100000011000001001(39)(82)(13)(131)(77)(107)(68)0(109)(150)(77)0(138)0(68)(40)
  1150   213.000000      1.000000     214.000000   Etimer36         0     112002003140100000000111111100000011000001001(40)(82)(13)(131)(77)(107)(68)0(109)(150)(77)0(138)0(68)(40)
  1151   214.000000      1.000000     215.000000   Etimer36         0     112002003140100000000111111100000011000001001(40)(82)(14)(131)(77)(107)(68)0(109)(150)(77)0(138)0(68)(40)
  1152   214.000000      1.000000     215.000000   Etimer42         0     112002003140100000000111111100000011000001001(40)(82)(15)(131)(77)(107)(68)0(109)(150)(77)0(138)0(68)(40)
  1153   214.000000      1.000000     215.000000   Etimer45         0     112002003140100000000111111100000011000001001(40)(82)(15)(131)(77)(107)(68)0(109)(150)(77)0(139)0(68)(40)
  1154   214.000000      1.000000     215.000000   Etimer45         0     112002003140100000000111111100000011000001001(41)(82)(15)(131)(77)(107)(68)0(109)(150)(77)0(139)0(68)(40)
  1155   214.000000      1.000000     215.000000   Etimer35         0     112002003140100000000111111100000011000001001(41)(82)(15)(131)(77)(107)(68)0(109)(150)(77)0(139)0(68)(41)
  1156   215.000000      1.000000     216.000000   Etimer42         0     112002003140100000000111111100000011000001001(41)(83)(15)(131)(77)(107)(68)0(109)(150)(77)0(139)0(68)(41)
  1157   215.000000      1.000000     216.000000   Etimer45         0     112002003140100000000111111100000011000001001(41)(83)(15)(131)(77)(107)(68)0(109)(150)(77)0(140)0(68)(41)
  1158   215.000000      1.000000     216.000000   Etimer35         0     112002003140100000000111111100000011000001001(42)(83)(15)(131)(77)(107)(68)0(109)(150)(77)0(140)0(68)(41)
  1159   215.000000      1.000000     216.000000   Etimer45         0     112002003140100000000111111100000011000001001(42)(84)(15)(131)(77)(107)(68)0(109)(150)(77)0(140)0(68)(41)
  1160   215.000000      1.000000     216.000000   Etimer36         0     112002003140100000000111111100000011000001001(42)(84)(15)(131)(77)(107)(68)0(109)(150)(77)0(140)0(68)(42)
  1161   216.000000      1.000000     217.000000   Etimer45         0     112002003140100000000111111100000011000001001(42)(84)(16)(131)(77)(107)(68)0(109)(150)(77)0(140)0(68)(42)
  1162   216.000000      1.000000     217.000000   Etimer35         0     112002003140100000000111111100000011000001001(42)(84)(16)(131)(77)(107)(68)0(109)(150)(77)0(140)0(68)(43)
  1163   216.000000      1.000000     217.000000   Etimer36         0     112002003140100000000111111100000011000001001(42)(85)(16)(131)(77)(107)(68)0(109)(150)(77)0(140)0(68)(43)
  1164   216.000000      1.000000     217.000000   Etimer42         0     112002003140100000000111111100000011000001001(42)(85)(17)(131)(77)(107)(68)0(109)(150)(77)0(140)0(68)(43)
  1165   216.000000      1.000000     217.000000   Etimer45         0     112002003140100000000111111100000011000001001(42)(85)(17)(131)(77)(107)(68)0(109)(150)(77)0(141)0(68)(43)
  1166   217.000000      1.000000     218.000000   Etimer45         0     112002003140100000000111111100000011000001001(43)(85)(17)(131)(77)(107)(68)0(109)(150)(77)0(141)0(68)(43)
  1167   217.000000      1.000000     218.000000   Etimer36         0     112002003140100000000111111100000011000001001(43)(85)(17)(131)(77)(107)(68)0(109)(150)(77)0(141)0(68)(44)
  1168   217.000000      1.000000     218.000000   Etimer45         0     112002003140100000000111111100000011000001001(43)(85)(18)(131)(77)(107)(68)0(109)(150)(77)0(141)0(68)(44)
  1169   217.000000      1.000000     218.000000   Etimer35         0     112002003140100000000111111100000011000001001(44)(85)(18)(131)(77)(107)(68)0(109)(150)(77)0(141)0(68)(44)
  1170   217.000000      1.000000     218.000000   Etimer42         0     112002003140100000000111111100000011000001001(44)(86)(18)(131)(77)(107)(68)0(109)(150)(77)0(141)0(68)(44)
  1171   218.000000      1.000000     219.000000   Etimer35         0     112002003140100000000111111100000011000001001(44)(86)(18)(131)(77)(107)(68)0(109)(150)(77)0(142)0(68)(44)
  1172   218.000000      1.000000     219.000000   Etimer45         0     112002003140100000000111111100000011000001001(44)(87)(18)(131)(77)(107)(68)0(109)(150)(77)0(142)0(68)(44)
  1173   218.000000      1.000000     219.000000   Etimer45         0     112002003140100000000111111100000011000001001(44)(87)(18)(131)(77)(107)(68)0(109)(150)(77)0(142)0(68)(45)
  1174   218.000000      1.000000     219.000000   Etimer36         0     112002003140100000000111111100000011000001001(45)(87)(18)(131)(77)(107)(68)0(109)(150)(77)0(142)0(68)(45)
  1175   218.000000      1.000000     219.000000   Etimer42         0     112002003140100000000111111100000011000001001(45)(87)(19)(131)(77)(107)(68)0(109)(150)(77)0(142)0(68)(45)
